"","country","election_year","age","gender","men","education","unemployed","blue_collar","household","rural","gov_perform","diss_dem","diss_econ","democrats","lrself","trust_pol","vote_fn","election"
"269","France",2002,71,"Male",1,3,0,0,7,0,2,1,2,4,6,1,0,"2002"
"270","France",2002,41,"Male",1,5,1,0,9,1,3,11,3,5,5,1,0,"2002"
"273","France",2002,29,"Female",0,5,1,0,9,0,3,6,2,1,3,4,0,"2002"
"275","France",2002,57,"Male",1,1,0,0,11,0,9,9,5,1,1,4,0,"2002"
"276","France",2002,76,"Female",0,5,0,0,7,0,4,6,3,1,6,5,0,"2002"
"277","France",2002,30,"Female",0,5,1,0,6,0,4,9,3,1,5,3,0,"2002"
"278","France",2002,43,"Female",0,2,0,0,4,0,6,8,6,4,9,6,0,"2002"
"279","France",2002,55,"Female",0,5,0,0,5,0,2,5,2,1,2,5,0,"2002"
"282","France",2002,55,"Female",0,2,0,0,5,1,6,6,5,2,6,2,1,"2002"
"283","France",2002,68,"Female",0,1,0,0,5,0,6,8,6,1,9,6,0,"2002"
"286","France",2002,62,"Male",1,3,1,0,6,0,8,10,8,1,8,6,0,"2002"
"288","France",2002,64,"Female",0,5,0,0,6,0,5,7,3,4,6,3,0,"2002"
"289","France",2002,56,"Female",0,1,1,0,5,1,2,1,2,1,2,3,0,"2002"
"291","France",2002,56,"Female",0,3,1,0,7,1,7,7,6,2,6,6,0,"2002"
"293","France",2002,64,"Female",0,1,0,0,6,0,4,7,3,4,11,6,0,"2002"
"294","France",2002,32,"Female",0,5,1,0,5,0,5,10,3,4,5,3,0,"2002"
"295","France",2002,36,"Female",0,5,1,0,6,0,7,8,6,2,4,4,0,"2002"
"296","France",2002,55,"Male",1,3,0,1,6,0,6,9,5,4,6,3,0,"2002"
"298","France",2002,44,"Male",1,2,1,0,7,0,5,5,4,3,9,1,0,"2002"
"300","France",2002,32,"Male",1,5,1,0,4,0,7,9,5,2,4,5,0,"2002"
"301","France",2002,49,"Male",1,3,1,0,11,1,5,9,7,5,9,9,0,"2002"
"302","France",2002,24,"Female",0,5,0,0,7,0,7,8,4,1,9,6,0,"2002"
"303","France",2002,76,"Female",0,3,0,0,6,0,6,10,4,4,9,6,0,"2002"
"304","France",2002,59,"Male",1,3,0,0,9,0,2,4,2,1,7,2,0,"2002"
"306","France",2002,30,"Female",0,5,1,0,6,1,4,5,3,1,4,4,0,"2002"
"307","France",2002,52,"Female",0,3,0,0,9,0,5,9,7,3,4,5,0,"2002"
"308","France",2002,32,"Male",1,5,1,0,5,0,3,8,1,2,2,5,0,"2002"
"309","France",2002,79,"Female",0,1,0,0,4,0,7,3,6,2,6,6,0,"2002"
"311","France",2002,29,"Female",0,5,0,0,7,0,8,11,8,4,4,5,0,"2002"
"313","France",2002,71,"Female",0,1,0,0,6,0,8,8,6,1,9,7,0,"2002"
"314","France",2002,36,"Male",1,3,0,1,5,1,5,6,3,1,3,3,0,"2002"
"315","France",2002,55,"Male",1,5,0,0,9,0,6,10,6,2,7,7,0,"2002"
"316","France",2002,58,"Female",0,5,0,0,10,0,5,8,4,1,8,6,0,"2002"
"319","France",2002,66,"Male",1,3,0,0,7,0,6,9,6,5,10,3,0,"2002"
"320","France",2002,39,"Female",0,5,1,0,10,0,7,10,6,1,7,5,0,"2002"
"321","France",2002,36,"Female",0,3,0,0,7,0,8,11,5,2,7,9,0,"2002"
"326","France",2002,23,"Female",0,3,1,0,7,0,4,7,5,2,6,3,0,"2002"
"327","France",2002,69,"Female",0,3,0,0,7,0,9,9,6,2,4,5,0,"2002"
"328","France",2002,67,"Female",0,1,0,0,5,0,6,8,5,1,9,5,0,"2002"
"330","France",2002,36,"Female",0,3,1,0,6,1,3,1,1,1,1,1,0,"2002"
"332","France",2002,50,"Male",1,2,0,0,9,0,6,10,6,2,8,6,0,"2002"
"333","France",2002,52,"Female",0,5,0,0,10,0,4,9,7,1,4,5,0,"2002"
"336","France",2002,48,"Female",0,5,0,0,6,0,5,9,5,1,5,4,0,"2002"
"340","France",2002,56,"Male",1,2,0,0,10,0,6,9,6,1,5,6,0,"2002"
"341","France",2002,74,"Female",0,3,0,0,6,0,2,7,2,1,1,1,0,"2002"
"342","France",2002,24,"Male",1,5,0,0,5,0,8,10,5,5,5,5,0,"2002"
"343","France",2002,30,"Female",0,3,0,0,9,0,10,8,6,3,6,1,0,"2002"
"346","France",2002,66,"Male",1,1,1,0,6,0,4,9,4,2,6,4,0,"2002"
"347","France",2002,41,"Female",0,3,0,0,6,1,8,6,4,2,6,2,0,"2002"
"351","France",2002,58,"Male",1,5,0,0,6,1,7,8,6,2,8,4,0,"2002"
"354","France",2002,51,"Female",0,5,0,0,12,1,8,10,8,4,11,5,0,"2002"
"355","France",2002,56,"Female",0,1,0,0,5,0,1,1,1,3,1,1,0,"2002"
"357","France",2002,31,"Female",0,5,0,0,8,0,4,8,4,2,3,7,0,"2002"
"358","France",2002,75,"Female",0,1,0,0,7,0,8,8,6,1,6,4,0,"2002"
"360","France",2002,66,"Female",0,1,1,0,5,0,6,7,6,4,3,3,0,"2002"
"363","France",2002,48,"Female",0,5,1,0,6,0,4,10,4,1,4,5,0,"2002"
"364","France",2002,58,"Female",0,3,0,0,6,0,7,9,6,3,9,2,0,"2002"
"366","France",2002,48,"Female",0,1,0,0,6,0,3,5,5,1,9,1,0,"2002"
"367","France",2002,66,"Male",1,5,0,0,10,0,9,7,5,1,10,4,0,"2002"
"369","France",2002,30,"Female",0,5,1,0,8,1,6,10,5,1,7,7,0,"2002"
"370","France",2002,50,"Female",0,3,0,0,9,0,8,8,4,3,7,6,0,"2002"
"371","France",2002,55,"Female",0,5,1,0,9,1,8,11,6,2,8,6,0,"2002"
"373","France",2002,44,"Male",1,5,0,0,9,1,6,11,3,1,9,8,0,"2002"
"374","France",2002,58,"Female",0,3,0,0,9,0,3,6,3,3,8,6,1,"2002"
"377","France",2002,78,"Male",1,3,1,0,9,0,7,9,7,2,3,7,0,"2002"
"380","France",2002,54,"Female",0,3,1,0,9,0,1,5,2,1,3,3,0,"2002"
"382","France",2002,59,"Male",1,3,0,0,8,0,2,7,3,2,10,3,0,"2002"
"383","France",2002,66,"Female",0,1,0,0,7,1,7,9,7,2,7,6,0,"2002"
"384","France",2002,56,"Female",0,3,1,0,4,0,6,8,4,2,6,5,0,"2002"
"386","France",2002,81,"Male",1,1,0,0,5,0,5,10,7,2,8,1,0,"2002"
"387","France",2002,58,"Male",1,3,0,0,9,0,5,10,7,1,7,8,0,"2002"
"388","France",2002,23,"Female",0,5,0,0,8,1,1,8,3,1,3,5,0,"2002"
"390","France",2002,54,"Male",1,5,0,0,9,0,8,10,8,1,4,5,0,"2002"
"391","France",2002,67,"Female",0,1,0,0,5,0,6,6,3,2,6,7,0,"2002"
"392","France",2002,66,"Female",0,3,0,0,9,1,3,9,4,1,4,3,0,"2002"
"393","France",2002,74,"Male",1,3,0,0,5,0,6,8,3,1,8,3,0,"2002"
"396","France",2002,56,"Male",1,3,0,1,8,1,5,6,4,2,3,5,0,"2002"
"397","France",2002,46,"Male",1,2,1,0,8,0,7,11,4,1,4,9,0,"2002"
"399","France",2002,56,"Male",1,1,0,0,7,1,6,9,6,3,4,2,1,"2002"
"402","France",2002,43,"Male",1,5,0,0,9,0,3,9,3,5,1,4,0,"2002"
"403","France",2002,62,"Female",0,1,1,0,5,0,4,8,5,4,10,4,1,"2002"
"406","France",2002,42,"Female",0,3,0,0,5,0,1,1,1,5,11,2,1,"2002"
"407","France",2002,38,"Male",1,2,0,0,5,1,6,1,1,1,6,3,1,"2002"
"409","France",2002,75,"Male",1,1,0,0,7,0,11,8,5,2,11,6,0,"2002"
"410","France",2002,76,"Female",0,2,0,0,4,1,7,9,7,3,8,8,0,"2002"
"412","France",2002,79,"Male",1,1,0,0,4,1,2,7,3,2,11,6,0,"2002"
